program,year,duration_sec,device,browser,os,ip,date,resp_id,source,satisf_overall,satisf_teachers,expect_match,fac_support_score,fac_support_imp,fac_clarity_score,fac_clarity_imp,cur_timely_score,cur_timely_imp,cur_help_score,cur_help_imp,cur_comment,prog_clarity_score,prog_clarity_imp,prog_deadlines_score,prog_deadlines_imp,prog_relevance_score,prog_relevance_imp,prog_workload_score,prog_workload_imp,prog_comment,coord_respect_score,coord_respect_imp,coord_results_score,coord_results_imp,coord_timely_score,coord_timely_imp,coord_help_score,coord_help_imp,coord_comment,assess_criteria_timely,assess_order_clear,assess_consistent,assess_comment,fac_comment,gen_ed_critical_thinking,gen_ed_history,gen_ed_foreign_lang,gen_ed_safety,gen_ed_statehood,seminar_comment,infra_library,infra_wellbeing,infra_food,infra_software,infra_equipment,infra_classrooms,infra_workshops,nps,comment_final,hum_critical_thinking,hum_history,hum_statehood,hum_foreign_lang,prev_sem_relevance,postgrad_masters,postgrad_same_field,postgrad_other_field,postgrad_other,hum_philosophy,hum_communication,skill_confidence,school
Foundation Art and Design,1 курс,73,Компьютер,Google Chrome,Windows 10,149.7.104.3,12.02.2026 14:42:36,1,Прямая ссылка,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,270,Телефон,Safari,iPhone,109.107.166.214,20.02.2026 20:42:03,2,Прямая ссылка,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,,2.0,3.0,2.0,3.0,3.0,6.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,224,Телефон,Google Chrome,Android,5.228.118.254,20.02.2026 20:44:44,3,Прямая ссылка,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,4.0,3.0,,,,,,,,,2.0,2.0,1.0,3.0,2.0,3.0,3.0,8.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,630,Телефон,Safari,iPhone,217.217.244.5,20.02.2026 20:48:29,4,Прямая ссылка,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,,1.0,4.0,,4.0,4.0,10.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,733,Телефон,Google Chrome,Android,5.35.113.119,20.02.2026 20:50:01,5,Прямая ссылка,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,3.0,,,,,,,,,4.0,,1.0,3.0,4.0,4.0,4.0,9.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,923,Телефон,Safari,iPhone,213.87.154.102,20.02.2026 20:53:02,6,Прямая ссылка,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,,4.0,4.0,4.0,4.0,4.0,8.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,196,Телефон,Safari,iPhone,152.53.45.49,20.02.2026 21:10:58,7,Прямая ссылка,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,,3.0,2.0,3.0,4.0,4.0,10.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,1393,Телефон,Safari,iPhone,213.87.150.177,20.02.2026 21:14:39,8,Прямая ссылка,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,"Моим куратором был Фёдор Тощев. Он отлично организовывал нашу группу, вовремя отправлял необходимую информацию, всегда доступно объяснял принципы работы над проектом, если у нас возникали вопросы. Спасибо ему большое! ",2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,"Программа семестра А была очень насыщенной, но задания часто были непонятными даже при подробном изучении брифа. Большая часть брифов были по направлению Contemporary Art, хотелось бы видеть и задания, больше связанные с другими направлениями, чтобы каждый студент мог попробовать разные pathways и на практике решить для себя, куда идти учиться дальше. Но несмотря на это, для меня этот семестр был отличной творческой прокачкой креативности и мозговым штурмом, что тоже немало важно в обучении на креативных профессиях. ",2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,"Координатор иногда очень долго отвечает на письма. Иногда с ним проще связаться через ресепшен. Хотелось бы более оперативного решения вопросов, если это возможно. ",3.0,4.0,3.0,"Система оценивания очень чёткая и понятная за исключением проверки работ на искусственный интеллект. Не раз видела работы своих однокурсников, написанные самостоятельно (иногда в моем присутствии), но оценённые как Ai generated. Мне кажется, что было бы честно проверять работы на наличие искусственного интеллекта не просто на схожесть стиля текста, а с помощью специальной программы. ",,,,,,,,4.0,4.0,4.0,3.0,3.0,,4.0,10.0,"Как я уже ранее писала, было бы круто немного разнообразить творческие проекты и сделать их интересными для каждого направления. В остальном я думаю, что всё отлично!",,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,336,Телефон,Safari,iPhone,31.173.85.34,20.02.2026 21:31:23,9,Прямая ссылка,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,10.0,,,,,,,,,,,,,,БВШД
Foundation Art and Design,1 курс,268,Телефон,Google Chrome,Android,109.252.7.176,20.02.2026 21:41:21,10,Прямая ссылка,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,,4.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,,4.0,3.0,3.0,,,,,,,,,4.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,,,БВШД
