program,year,school,contingent
Foundation Art and Design,,БВШД,109
Анимация,1 курс,Scream,10
Анимация,2 курс,Scream,11
Анимация,4 курс,Scream,3
Артист драматического театра и кино,,МШК,7
Архитектура и градостроительство,1 курс,МАРШ,28
Архитектура и градостроительство,2 курс,МАРШ,20
Архитектура и градостроительство,3 курс,МАРШ,17
Архитектура и градостроительство,4 курс,МАРШ,16
Архитектура и градостроительство,5 курс,МАРШ,16
Бренд-менеджмент и маркетинг в креативных индустриях,1 курс,БВШД,26
Бренд-менеджмент и маркетинг в креативных индустриях,2 курс,БВШД,21
Графический дизайн,2 курс,БВШД,12
Графический дизайн,3 курс,БВШД,21
Графический дизайн,4 курс,БВШД,10
Дизайн одежды и текстиля,2 курс,БВШД,21
Дизайн одежды и текстиля,3 курс,БВШД,19
Дизайн одежды и текстиля,4 курс,БВШД,13
Дизайн и архитектура интерьера,2 курс,БВШД,14
Дизайн и архитектура интерьера,3 курс,БВШД,10
Дизайн и архитектура интерьера,4 курс,БВШД,5
Иллюстрация,2 курс,БВШД,16
Иллюстрация,3 курс,БВШД,18
Иллюстрация,4 курс,БВШД,11
Кинопроизводство,1 курс,МШК,62
Кинопроизводство,2 курс,МШК,53
Кинопроизводство,3 курс,МШК,27
Кинопроизводство,4 курс,МШК,12
Компьютерная музыка и аранжировка,1 курс,МШМ,29
Компьютерная музыка и аранжировка,2 курс,МШМ,18
Компьютерная музыка и аранжировка,3 курс,МШМ,20
Компьютерная музыка и аранжировка,4 курс,МШМ,11
Менеджмент в креативных индустриях (сетевая программа),,БВШД,9
Менеджмент и маркетинг в креативных индустриях,,БВШД,2
Предпринимательство и продюсирование в креативных индустриях,,БВШД,10
Проектирование зданий и городских общественных пространств,1 курс,МАРШ,18
Проектирование зданий и городских общественных пространств,2 курс,МАРШ,15
Промышленный дизайн,2 курс,БВШД,9
Промышленный дизайн,3 курс,БВШД,6
Промышленный дизайн,4 курс,БВШД,6
Развитие креативных проектов,,БВШД,10
Современное искусство,2 курс,БВШД,17
Современное искусство,3 курс,БВШД,4
Современное искусство,4 курс,БВШД,4
Создание игр,1 курс,Scream,10
Создание игр,2 курс,Scream,16
Создание игр,3 курс,Scream,16
Создание игр,4 курс,Scream,4
