ID;Уровень;Школа;Программа;Курс
Архитектура и градостроительство_1;Бакалавриат;МАРШ;Архитектура и градостроительство;1
Проектирование зданий и городских общественных пространств_1;Магистратура;МАРШ;Проектирование зданий и городских общественных пространств;1
Архитектура и градостроительство_2;Бакалавриат;МАРШ;Архитектура и градостроительство;2
Проектирование зданий и городских общественных пространств_2;Магистратура;МАРШ;Проектирование зданий и городских общественных пространств;2
Архитектура и градостроительство_3;Бакалавриат;МАРШ;Архитектура и градостроительство;3
Архитектура и градостроительство_4;Бакалавриат;МАРШ;Архитектура и градостроительство;4
Архитектура и градостроительство_5;Бакалавриат;МАРШ;Архитектура и градостроительство;5
Менеджмент в креативных индустриях (сетевая программа)_3;Бакалавриат;БВШД;Менеджмент в креативных индустриях (сетевая программа);3
Графический дизайн_3;Бакалавриат;БВШД;Графический дизайн;3
Дизайн одежды и текстиля_3;Бакалавриат;БВШД;Дизайн одежды и текстиля;3
Иллюстрация_3;Бакалавриат;БВШД;Иллюстрация;3
Промышленный дизайн_3;Бакалавриат;БВШД;Промышленный дизайн;3
Современное искусство_3;Бакалавриат;БВШД;Современное искусство;3
Дизайн и архитектура интерьера_3;Бакалавриат;БВШД;Дизайн и архитектура интерьера;3
Менеджмент и маркетинг в креативных индустриях_2;Бакалавриат;БВШД;Менеджмент и маркетинг в креативных индустриях;2
Бренд-менеджмент и маркетинг в креативных индустриях_2;Бакалавриат;БВШД;Бренд-менеджмент и маркетинг в креативных индустриях;2
Графический дизайн_2;Бакалавриат;БВШД;Графический дизайн;2
Дизайн одежды и текстиля_2;Бакалавриат;БВШД;Дизайн одежды и текстиля;2
Иллюстрация_2;Бакалавриат;БВШД;Иллюстрация;2
Промышленный дизайн_2;Бакалавриат;БВШД;Промышленный дизайн;2
Современное искусство_2;Бакалавриат;БВШД;Современное искусство;2
Дизайн и архитектура интерьера_2;Бакалавриат;БВШД;Дизайн и архитектура интерьера;2
Предпринимательство и продюсирование в креативных индустриях_1;Бакалавриат;БВШД;Предпринимательство и продюсирование в креативных индустриях;1
Бренд-менеджмент и маркетинг в креативных индустриях_1;Бакалавриат;БВШД;Бренд-менеджмент и маркетинг в креативных индустриях;1
Развитие креативных проектов_1;Магистратура;БВШД;Развитие креативных проектов;1
Foundation Art and Design_1;Бакалавриат;БВШД;Foundation Art and Design;1
Графический дизайн_4;Бакалавриат;БВШД;Графический дизайн;4
Дизайн одежды и текстиля_4;Бакалавриат;БВШД;Дизайн одежды и текстиля;4
Иллюстрация_4;Бакалавриат;БВШД;Иллюстрация;4
Промышленный дизайн_4;Бакалавриат;БВШД;Промышленный дизайн;4
Современное искусство_4;Бакалавриат;БВШД;Современное искусство;4
Дизайн и архитектура интерьера_4;Бакалавриат;БВШД;Дизайн и архитектура интерьера;4
Кинопроизводство_2;Бакалавриат;МШК;Кинопроизводство;2
Кинопроизводство_3;Бакалавриат;МШК;Кинопроизводство;3
Кинопроизводство_4;Бакалавриат;МШК;Кинопроизводство;4
Артист драматического театра и кино_1;Бакалавриат;МШК;Артист драматического театра и кино;1
Foundation Animation Film Games_1;Бакалавриат;МШК;Foundation Animation Film Games;1
Анимация_2;Бакалавриат;Scream;Анимация;2
Создание игр_2;Бакалавриат;Scream;Создание игр;2
Анимация_4;Бакалавриат;Scream;Анимация;4
Создание игр_4;Бакалавриат;Scream;Создание игр;4
Создание игр_3;Бакалавриат;Scream;Создание игр;3
Foundation Animation Film Games_1;Бакалавриат;Scream;Foundation Animation Film Games;1
Компьютерная музыка и аранжировка_1;Бакалавриат;МШМ;Компьютерная музыка и аранжировка;1
Компьютерная музыка и аранжировка_2;Бакалавриат;МШМ;Компьютерная музыка и аранжировка;2
Компьютерная музыка и аранжировка_3;Бакалавриат;МШМ;Компьютерная музыка и аранжировка;3
Компьютерная музыка и аранжировка_4;Бакалавриат;МШМ;Компьютерная музыка и аранжировка;4
